title,score,connect_url
"
澶辨亱399骞?",3.2,/movie/20882
"
鈥滃悆鍚冣€濈殑鐖盵鎶㈠厛鐗圿
",6.1,/movie/20880
"
濞佸皵閫?",5.8,/movie/20879
"
鎶㈢孩
",3.3,/movie/20877
"
榫欐：鍙ゅ
",3.6,/movie/20875
"
娈夐亾鑰呮潃鎵?",5.4,/movie/20876
"
璧扮伀浜ゆ槗
",6.3,/movie/20872
"
璧扮伀鏋?",5.6,/movie/20871
"
鑰佸笀涔熺柉鐙俒DVD鐗圿
",3.7,/movie/20870
"
楝煎濮?",5.2,/movie/20868
"
瀹屽叏闄岀敓
",6.2,/movie/20869
"
鍙ら兘
",6.8,/movie/20866
"
榫欎箣蹇?锛氬績鐏箣鎴?",5.6,/movie/20862
"
鑽″瘒椋庝簯[鎶㈠厛鐗圿
",6.3,/movie/20863
"
鏄ュ▏鏁戝織鏄?",7.5,/movie/20854
"
鍜搁奔浼犲
",2.4,/movie/20853
"
璐濆皵绉戝疄楠?",6,/movie/20851
"
闆€鍦?",5.6,/movie/6979
"
涓嶆睏鍏?",7,/movie/20848
"
宸撮湇宸村埄鐜?涓?锛氱粓缁揫DVD鐗圿
",6.9,/movie/20847
"
蹇冭闃冲厜
",4.5,/movie/20846
"
琛€鎴樼媯娌?",3.2,/movie/20845
"
榛戣澊铦?",6.2,/movie/20844
"
鍝嗗暒A姊︼細澶ч泟鐨勫崡鏋佸啺鍐板噳澶у啋闄鎶㈠厛鐗圿
",6.6,/movie/20842
"
浜煄鍥涘皯
",3.9,/movie/20841
"
鎵撴嫵鏋?",5.9,/movie/20707
"
琛€浼炲嚩鐏?",2.3,/movie/20840
"
鎽旇筏鍚э紒鐖哥埜
",9.2,/movie/20651
"
澶ч挀鍝?",5.1,/movie/20839
"
鍐伴洩澶т綔鎴?",6,/movie/20838
"
閫熷害涓庢縺鎯?
",7.2,/movie/19365
"
鍝堟路鏄庡搱鏉帮細杩旀牎涔嬬帇
",8.6,/movie/20837
"
姹夊鐨勭潯鐘?",6.6,/movie/20835
"
绁炲濂充緺[鎶㈠厛鐗圿
",7.6,/movie/18872
"
璐濇媺鐨勫骞昏姳鍥?",7.4,/movie/20832
"
鐭充箣鐥?",6.1,/movie/20830
"
鏂板澶╅箙2
",5.1,/movie/20831
"
鍏湀涓庡紦绠?",3.7,/movie/20829
"
閱掗啋鍚т箣璺熼鑰?",3.6,/movie/20828
"
鏂板澶╅箙2
",5.1,/movie/20831
"
鍏湀涓庡紦绠?",3.7,/movie/20829
"
閱掗啋鍚т箣璺熼鑰?",3.6,/movie/20828
"
鏈€鍚庣殑璇?",7,/movie/20827
"
渚嬪
",6.6,/movie/20826
"
鐗涘ザ閰嶉€佸憳鐨勫骞讳汉鐢?",7.4,/movie/20825
"
澧欓噷鐨勫０闊?",5.2,/movie/20577
"
鍠旀垜鐨勫兊灏?",5.5,/movie/20822
"
姊ㄦ嘲闄㈡潃浜轰簨浠?",6.5,/movie/20819
"
鐚倝棣呴ゼ
",7,/movie/20818
"
瀹夋槞鏄ュ瓙涓嬭惤涓嶆槑
",6.7,/movie/20817
"
鎬ㄧ伒瀹胯垗涔嬩汉鍋惰€佸笀
",2.2,/movie/20815
"
鐗瑰埆甯傛皯
",6.3,/movie/20814
"
寮傛槦瑙夐啋
",6.6,/movie/20798
"
缁堢粨鐨勬劅瑙?",6.8,/movie/20813
"
鍋风獌娉曞垯
",5,/movie/20812
"
鎭愭€栫悊鍙戝簵
",2.4,/movie/20808
"
浼柉鐗圭殑蹇?",7.5,/movie/20807
"
鎭嬫亱鏈夊０
",4.2,/movie/20806
"
鐪熺埍涔嬩功[DVD鐗圿
",6.3,/movie/20805
"
鎴戜滑鐨勯潚鏄ヤ笉鎬曠柤
",3.8,/movie/20804
"
鏌忔灄缁煎悎鐥?",6.1,/movie/20802
"
鍠滄浣?",7.2,/movie/20801
"
鐮旂┒闄?",4.4,/movie/20797
"
瓒呯骇寮虹洍[DVD鐗圿
",5.2,/movie/20796
"
濂虫潃鎵婯IRI锛氳鑵ュ浠?",5.9,/movie/20795
"
瓒呯骇澶у北鐐箣澶哄疂濂囧叺
",3.3,/movie/20791
"
鎴戜滑鐨勬晠浜?
",7,/movie/20786
"
鐜嬬殑璁颁簨绨?",6.2,/movie/20784
"
鎴戜滑鐨勬晠浜?",7.7,/movie/20779
"
鍌插▏涓庡亸瑙?",5.3,/movie/20778
"
鏁戝懡瑙ｈ嵂
",6.7,/movie/20594
"
缇庡浗濂囨墠鎽旇筏鎵?",6.5,/movie/20776
"
鍔犲嫆姣旀捣鐩?锛氭鏃犲璇乕鎶㈠厛鐗圿
",7.5,/movie/20775
"
鍏嬬綏绱㈠法鍏?",6,/movie/20595
"
鑷冲皧鏃犱笂
",7,/movie/20772
"
鍋囧皬瀛?",4.9,/movie/20771
"
娣卞椋熷爞鐢靛奖鐗?
",8.1,/movie/20770
"
鎴樹簤鏈哄櫒
",6.3,/movie/20769
"
鐭抽€犱綇瀹呮潃浜烘
",6.2,/movie/20768
"
娆鸿瘓鍦ｆ墜
",7.1,/movie/20767
"
涓虹埍鎷呭綋
",3.1,/movie/20765
"
鎴戠殑鍙斿彅
",7.2,/movie/20766
"
楦￠鐙楄烦
",3.6,/movie/20764
"
鍔犲嫆姣旀捣涔嬪嫆绱㈤浜?",7.4,/movie/20759
"
鎻愮潃蹇冨悐鐫€鑳?",7.2,/movie/20661
"
鐢熷悆
",7.6,/movie/20755
"
闄嬪
",4.7,/movie/20754
"
鐖癸紝璇蜂綘姝诲惂
",6.2,/movie/20750
"
璧㈠
",6.2,/movie/20748
"
鏌ュ皵鏂笁涓?",7.5,/movie/20747
"
鎬ㄧ伒瀹胯垗涔嬬櫧绾稿コ鐢?",2.4,/movie/20746
"
鐖辩殑鐚庣姮
",6.1,/movie/20741
"
鐤鹃€熺壒鏀?",7.7,/movie/20073
"
鐚滅伀杞?",8.6,/movie/4007
"
鎬掔伀鏀诲績
",7.3,/movie/4110
"
姝ゆ儏姝ゅ埢
",5.2,/movie/20738
"
璧跺敖鏉€缁?",6.5,/movie/20737
"
缇庡閽圼鎶㈠厛鐗圿
",3.7,/movie/20732
"
闃村奖鏁堝簲
",4.9,/movie/20731
"
瀹濊礉鑰佹澘
",7.6,/movie/20593
"
鏈哄姩鎴樺＋楂樿揪闆烽渾瀹欏煙DECEMBER.SKY
",8.7,/movie/20730
"
璇峰拰鎴戠殑濡诲瓙缁撳
",7.1,/movie/20729
"
鐚滅伀杞?
",8.5,/movie/20728
"
鐢熷懡涓殑鐧剧背
",7.7,/movie/20724
"
铔ソ渚︽帰
",6.7,/movie/20719
"
鐖卞湪钁¤悇鍥?",4.3,/movie/20717
"
鏈棩閲嶅惎
",5.5,/movie/20718
"
绁炵瀹舵棌
",5.4,/movie/20713
"
BLAME!
",7.8,/movie/20712
"
鐖辨儏鍐讳綇浜?",5.2,/movie/20423
"
涔愰珮铦欒潬渚犲ぇ鐢靛奖
",8.1,/movie/20711
"
闈炲嚒浠诲姟
",6.5,/movie/20710
"
鍦ㄨ繖涓栫晫鐨勮钀?",8.1,/movie/20708
"
鎬掔伀鏀诲績2锛氶珮鍘嬬數
",6.6,/movie/4120
"
蹇界劧涓冩棩
",6.1,/movie/20702
"
鎯呮瓕
",7.4,/movie/20701
"
娆箰鍠滃墽浜?",2.5,/movie/20697
"
濠氬妗岀墝19鍙?",5.9,/movie/20696
"
娴疯鏈変釜浜斿簵甯?",3.6,/movie/20694
"
榄旀父绾?锛氬鍛戒箣浜?",5.2,/movie/20690
"
鏈夊畬娌″畬
",5.6,/movie/20689
"
姝﹀姏2
",5.8,/movie/20688
"
澹颁箣褰?",7.9,/movie/20687
"
鍢跨帥鍢跨帥
",7,/movie/20686
"
缇庡コ涓庨噹鍏?",7.4,/movie/19774
"
鎴戜笘鐣岀殑涓績[DVD鐗圿
",7.4,/movie/20682
"
鎽囨粴钘忕崚
",6.8,/movie/20644
"
鐩戠嫳瀛﹁
",6.6,/movie/20679
"
闂ㄥ緬
",7,/movie/20678
"
鍐涚姮楹﹀厠鏂?鐧藉鑻遍泟
",5.8,/movie/20677
"
閲戝垰鐙?锛氭畩姝讳竴鎴?",8.3,/movie/19998
"
姘存祾瀹㈡爤
",2.7,/movie/20676
"
榄旀父绾?锛氱櫧楠ㄤ箣濮?",6,/movie/20672
"
鍗冮挧涓€鍙?",8.7,/movie/3407
"
楹荤儲瀹舵棌[鎶㈠厛鐗圿
",4.8,/movie/20671
"
鍝?",7.4,/movie/19463
"
缃楄帋濡堝
",6.8,/movie/20666
"
鏈€浣虫媿妗?锛氬叺椹繎椋庝簯
",6.4,/movie/941
"
绗?绉掕惀鏁?",2.7,/movie/20664
"
鏈€浣虫媿妗?锛氬叺椹繎椋庝簯
",6.4,/movie/941
"
绗?绉掕惀鏁?",2.7,/movie/20664
"
楂樺湴鎴?",8.1,/movie/667
"
缁戞灦鑰?",5,/movie/20660
"
姣掋€傝[鎶㈠厛鐗圿
",4.6,/movie/20662
"
娌冧鸡
",8.4,/movie/20659
"
鍏竾閲?",4.6,/movie/20658
"
璁板繂澶у笀[DVD鐗圿
",7.3,/movie/20656
"
鎯婃倸灏忚
",3,/movie/20650
"
鏉€鎵嬬殑绁峰憡
",5.2,/movie/20647
"
鐖哥埜鐨勫コ鍎?",6.8,/movie/20639
"
寮傝兘瓒呮ā
",4.6,/movie/20635
"
鑷棴鍘嗙▼
",8.8,/movie/20636
"
鎴戞€€瀛曚簡
",6,/movie/20634
"
楂樼┖
",4.9,/movie/20626
"
涓存笂鑰岀珛
",7,/movie/20625
"
姝讳骸绗旇锛氱偣浜柊涓栫晫
",5,/movie/20478
"
鐙嚜鍦ㄥ鏅氱殑娴疯竟
",7.1,/movie/20624
"
鐖憋紝鐖变綘
",6.2,/movie/20620
"
閬撻棬寰″
",4.2,/movie/20618
"
姣曚笟浼氳€?",7.9,/movie/20180
"
绁炵涓栫晫鍘嗛櫓璁?
",6.1,/movie/12727
"
鑰佷汉浜ゅ搷涔愬洟
",7,/movie/20617
"
97瀹舵湁鍠滀簨
",7.4,/movie/20611
"
鍐插ぉ鐏?",3.7,/movie/19264
"
涓栫晫涔嬪
",6,/movie/20360
"
姝讳骸鍖荤敓
",8.6,/movie/20603
"
鍏ぞ
",6.2,/movie/20602
"
鐢滃績鎴樺＋锛氱溂娉?",4.5,/movie/20601
"
鏆楅噾涓戝矝鍚涳細瀹岀粨绡?",7.7,/movie/20597
"
蹇忔倲褰?",6.7,/movie/20596
"
鎬?",7.8,/movie/20413
"
鏆楅噾涓戝矝鍚?
",7.3,/movie/20592
"
涓€鏉￠緳
",6.5,/movie/20591
"
鎷ユ湁绁炰箣鑸岀殑鐢峰瓙楝肩伅姝讳骸涔嬭矾绡?",5.1,/movie/20590
"
妗戣开
",6.3,/movie/20585
"
婧烘按灏忓垁
",7.2,/movie/20584
"
鍏湀鐨勯浘
",7.4,/movie/20583
"
鏋侀檺鐗瑰伐3锛氱粓鏋佸洖褰?",5.8,/movie/19872
"
瀵嗘帰
",6.5,/movie/18998
"
鎴戠殑鐝嶅疂
",5.2,/movie/20579
"
灏忓ジ灏忔伓
",6.2,/movie/20578
"
澶╂墠灏戝コ
",8.1,/movie/20575
"
鏀诲３鏈哄姩闃?",7,/movie/20120
"
鍫曡惤澶╀娇
",4.3,/movie/20572
"
姘歌繙鐨勬墭璇?",7.7,/movie/20565
"
婊氱儷鐨勭埍
",7.7,/movie/20564
"
鐜涙牸涓界壒鐨勬槬澶?",2.9,/movie/20563
"
鏍″洯娴佹槦闆?",3.2,/movie/20557
"
鏈€浣虫媿妗?锛氬崈閲屾晳宸﹩
",6.7,/movie/895
"
缃伓璧庨噾
",5.4,/movie/13558
"
灏忛槾璋嬪ぇ鐖辨儏
",3.5,/movie/20554
"
灏忛晣杩疯釜
",5.3,/movie/20552
"
鍙涚嫳鏃犻棿
",6.4,/movie/20550
"
涓€涓汉鐨勭獊鍑婚槦2[DVD鐗圿
",5.4,/movie/20549
"
鐖辨儏瀵硅祵
",4.2,/movie/20548
"
鏌愪竴澶?",6.5,/movie/20547
"
娴佹氮鐙?",5.2,/movie/20546
"
缇庡浗鏈€鍙仺鐨勫コ浜?",6.6,/movie/20542
"
绉佷汉閲囪喘鍛?",5.9,/movie/20540
"
鏃╁畨绉€
",6.6,/movie/20539
"
璇＄溂
",3.3,/movie/20538
"
姊呮牸闆风殑鍗佸瓧璺彛涔嬪
",7.3,/movie/20537
"
鐤楀吇鎬?",5.4,/movie/20533
"
闄堢繑鍏偣鍗婁箣搴熻瘽灏戣
",6.2,/movie/20531
"
姝ュ饱娌夐噸
",6.8,/movie/20530
"
閲戠熆
",7.6,/movie/20528
"
鍐嶈鐡﹀煄[DVD鐗圿
",6.6,/movie/20529
"
鎸囩敳鍒€浜洪瓟
",4.5,/movie/20526
"
鍏湀
",7.2,/movie/20521
"
鏂楅瓊涔嬬唺瀛╁瓙
",3.9,/movie/20515
"
娌欏牎
",6.5,/movie/20512
"
閫冨嚭缁濆懡闀?",7.5,/movie/20513
"
閲戠墝鐢蜂汉
",7.1,/movie/20511
"
鎴樼闃跨憺鏂?",6,/movie/20507
"
鍗堝鍑堕搩3(缇庣増)
",4.7,/movie/20505
"
閫佽懍浜?",5.6,/movie/20504
"
鎴戝幓鍝効锛?",8.2,/movie/20503
"
鏈€浣虫媿妗?锛氬コ鐨囧瘑浠?",6.9,/movie/850
"
鐤渤鎾匠浜?",3.4,/movie/20024
"
鐞冭垶闈掓槬
",4.2,/movie/20501
"
鐑姹熸箹涔嬫ⅵ骞诲缂?",3.5,/movie/20500
"
鍐叉氮浼侀箙
",7.2,/movie/20499
"
缁濇湜鑰呮父鎴?",3.9,/movie/20496
"
璧风粓鐐圭珯
",6.4,/movie/20497
"
鍏堝彂鍒朵汉
",5.4,/movie/20494
"
鏃堕棿涓婄殑瀹?",6.6,/movie/20493
"
鍙椾激鐨勫ぉ浣?",6.7,/movie/20489
"
318濂崇敓瀹胯垗
",4.2,/movie/20487
"
鎴戠殑骞哥瀵嗙爜[DVD鐗圿
",5.2,/movie/20488
"
鍙查叿姣?姣涜尭鑼哥殑瀵瑰喅
",4.5,/movie/20485
"
鏃犲０澶?",6.1,/movie/20484
"
濂冲
",5.4,/movie/20480
"
閲嶈繑涓€涔濅節涓?",5.4,/movie/20479
"
鍔犻€熶笘鐣岋細鏃犻檺瓒呴
",5.9,/movie/20477
"
涓€鏉＄嫍鐨勪娇鍛?",7.7,/movie/20099
"
涓婃捣鐜?",5.1,/movie/20023
"
鐢滆湝鐨勭敓娲?",6.4,/movie/20476
"
榄旀父绾?锛氬ぉ閮芥殫娼?",5.3,/movie/20470
"
鏂壒鎷夐】
",6.5,/movie/20469
"
鑻﹂毦鐨勬敹鑾?",6.2,/movie/20468
"
鍒潃瀹?",5.1,/movie/20463
"
娴峰啗闄嗘垬闃熷憳5锛氭潃鎴垬鍦?",4.2,/movie/20460
"
瀹堟姢鑰咃細涓栫邯鎴樺厓
",4.1,/movie/20456
"
鎴戣鍙戣揪
",4.2,/movie/20455
"
鐖变笌榛戞殫鐨勬晠浜?",6.8,/movie/19465
"
铏氱┖
",5.7,/movie/20448
"
棣欑儫鍜岀儹宸у厠鍔?",6.9,/movie/20442
"
鐙肩殑鍙敜
",3.9,/movie/20441
"
璺槗鍗佸洓鐨勬浜＄邯浜媅DVD鐗圿
",7.1,/movie/20439
"
浜嗕笉璧风殑鑿蹭附瑗?",6.8,/movie/20438
"
鍝堟枃璧壒
",4.5,/movie/20437
"
鍗冩湳2鍗冪帇涔嬫垬
",3.5,/movie/20436
"
娓告垙瑙勫垯
",4.3,/movie/20435
"
榄旀父绾?锛氬紓涔″閬?",5.4,/movie/20432
"
瑗挎父浼忓绡?",5.8,/movie/19438
"
闀垮煄
",5,/movie/19399
"
鎸佹憚鍍忔満鐨勪汉
",7.7,/movie/20428
"
鍏ュ満鍒?",6.3,/movie/20426
"
榄旀父绾?锛氱洏鍙や箣蹇?",5.7,/movie/20425
"
鏉板嚭鍏皯
",8.5,/movie/20424
"
澶у垱涓氬
",7.1,/movie/20422
"
鎰忓绌洪棿
",7.4,/movie/20416
"
鐖朵翰涓庝紛钘ゅ厛鐢?",7.8,/movie/20412
"
闈炴寮忕壒宸?",5.1,/movie/20406
"
鏌虫爲琛楅灞?",4.3,/movie/20407
"
鏃堕棿娴汉
",2.3,/movie/20402
"
澶卞父
",7.4,/movie/16821
"
鍥涙湀鏄綘鐨勮皫瑷€
",5.7,/movie/20400
"
鏅€氫汉
",6.3,/movie/20393
"
鐑琛楀尯鐢靛奖鐗?锛氱孩闆?",5.5,/movie/20390
"
灏戝勾娉板潶锛氱姽澶у绾?",6.6,/movie/20387
"
鍔暟
",5.4,/movie/20386
"
缁堟瀬鏂楀＋4
",6.9,/movie/20383
"
寮傞偊璀﹀療鐢靛奖鐗?",5.2,/movie/20384
"
浜岄緳婀栨旦鍝ヤ箣姹熸箹瀛﹂櫌
",2.7,/movie/20378
"
鍦ｄ箣闈掓槬
",7.5,/movie/20373
"
璺ㄨ秺鏍呮爮
",6.7,/movie/20371
"
瀹炰範灏戝コ杩界埍璁?",3.5,/movie/20370
"
杩芥崟鑱傞瞾杈綶DVD鐗圿
",7.3,/movie/20368
"
鍐虫垬椋熺
",4.7,/movie/20369
"
澶ф紶瀛や緺
",4.5,/movie/20367
"
浜屽崄鍥涘懆
",7,/movie/20366
"
鍐叉氮浼侀箙2
",5.7,/movie/20357
"
鎬吔鍗¤溅
",6.3,/movie/20275
"
涓嶇湢澶?",5.5,/movie/20352
"
涓斧鐨勫
",2.6,/movie/20347
"
鏈笘瀛よ
",5.3,/movie/20345
"
蹇冩儕鑳嗘垬
",4.2,/movie/20344
"
鐔婂嚭娌÷峰骞荤┖闂?",6.4,/movie/20340
"
蹇冩儕鑳嗘垬
",4.2,/movie/20344
"
鐔婂嚭娌÷峰骞荤┖闂?",6.4,/movie/20340
"
鑸瑰彧
",6.1,/movie/20338
"
瑙ｅ喕
",6.2,/movie/20330
"
鎰挎棤宀佹湀
",5.1,/movie/20328
"
鍐嶅
",6.4,/movie/20327
"
鏈€浣虫媿妗?锛氬ぇ鏄剧閫?",7.2,/movie/843
"
鍒嗚
",7.3,/movie/20256
"
瓒呯骇鐜嬬埛
",5.4,/movie/20322
"
璧岀2
",7.5,/movie/20319
"
瀵″鍒哄
",2.6,/movie/20318
"
鐖辨湁鏉ヤ笘
",6.2,/movie/20316
"
鏈€浣虫媿妗?",7.3,/movie/790
"
瀹舵湁浠欏
",5.9,/movie/20312
"
寰锋墤椋庝簯涔嬩汉鐢熺鐮?",4.8,/movie/20313
"
鐤媯鐨勮禌杞?",7.8,/movie/4427
"
灏忕敺浜哄懆璁颁箣鍚惧鏈夊枩
",5.7,/movie/20308
"
绁炲鐨勬棆杞湪椹?",6.5,/movie/20306
"
鍋氬ご[DVD鐗圿
",5.3,/movie/20305
"
鐙鏂伴椈
",7,/movie/20304
"
閫氱伒濮愬
",2.5,/movie/20300
"
浜插垏鐨勯噾瀛?",7.6,/movie/4594
"
搴熺焊鏉挎嫵鍑绘墜
",8,/movie/20299
"
浠栨槸榫?",7.4,/movie/17084
"
涔橀鐮存氮
",7,/movie/19858
"
绂佸繉涔嬫亱
",6.3,/movie/20293
"
娴鍓戝績锛氫紶璇寸殑瀹岀粨绡?",7.7,/movie/15608
"
鐤鹃浣垮懡
",5.1,/movie/20290
"
浜垫笌
",3.5,/movie/20289
"
蹇嶈€呬紶璇翠箣楂樻牎浜夐湼
",2.6,/movie/20288
"
绂忔槦鐗规敾闃?",3.5,/movie/20284
"
娴鍓戝績锛氫含閮藉ぇ鐏瘒
",7.7,/movie/13997
"
甯曠壒妫?",8.1,/movie/20282
"
褰撴祦鏄熷垝杩囧ぉ闄?",2.6,/movie/20281
"
澶ч椆澶╃
",3.9,/movie/19870
"
娲诲コ涓у案澶?",4.5,/movie/20277
"
鐢熸椿锛屽姩鐢?",7.7,/movie/20276
"
鎺ㄩ攢鍛?",7.7,/movie/19981
"
娓呴啋姊?",5.9,/movie/20274
"
楝肩灣璀︽帰
",3,/movie/20268
"
娴庡叕
",6.9,/movie/20265
"
姗樿壊濂囪抗-鏈潵-
",7,/movie/20264
"
姹熸箹姘?",6.9,/movie/20263
"
鑳滆礋鏈喅鐨勬垬鏂?",5.8,/movie/20262
"
鐖辨槸姘告亽
",5.2,/movie/20252
"
鑻︿腑甯︾敎鐨勬粙鍛?",6.6,/movie/20248
"
鏍″鏋嚮妗?",7.7,/movie/20247
"
鍔炲叕瀹ゅ湥璇炴淳瀵?",5.9,/movie/20246
"
鍔熷か鐟滀冀
",5.3,/movie/19859
"
鏈哄姩鎴樺＋楂樿揪鐙鍏?锛氶粦鑹茬殑鐙鍏?",9,/movie/4844
"
闅愯棌浜虹墿
",8.6,/movie/20047
"
鑱婃枊鍙樺紓
",4.8,/movie/20241
"
鏋侀檺鐗瑰伐2
",6.6,/movie/3373
"
鐩愰┈甯?",4.1,/movie/20240
"
灏戝コ
",5.6,/movie/20239
"
绱㈠懡APP
",4.4,/movie/20238
"
缁堟瀬鍔挒
",4.5,/movie/20236
"
浜虹被鍓婂噺璁″垝
",5.3,/movie/20235
"
鎯婇瓊缁ｈ姳闉?",2.5,/movie/20234
"
闆矾
",8,/movie/20229
"
鐪嬩笉瑙佺殑瀹汉
",8.6,/movie/20228
"
榛戠尗椴侀亾澶?",6.2,/movie/20227
"
姊︿腑浜?",6.8,/movie/20226
"
鏈夎抗鍙惊
",2.3,/movie/20224
"
閫楅€楄开杩箣缇庢ⅵ骞村勾
",3.2,/movie/20223
"
鐪熺敯鍗佸媷澹?",6.3,/movie/20218
"
瑗胯懌鑺︾殑鐢熸椿
",8.3,/movie/20013
"
楠囨晠浜嬩箣鏆楃獥
",5.1,/movie/20213
"
涓€绉嶈皨鏉€
",5.5,/movie/20215
"
榛勯噾鎷煎浘
",7,/movie/20214
"
鏄熺悆澶ф垬澶栦紶锛氫緺鐩椾竴鍙?",7.3,/movie/18870
"
涓€鍚诲畾鎯呯數褰辩増1锛氶珮涓瘒
",3.9,/movie/20212
"
81鍙峰啘鍦轰箣鐤媯鐨勯害鍜?",4.3,/movie/13349
"
鐙╃寧
",5.8,/movie/20205
"
閾犵敳鍕囧＋鎹曠帇
",4,/movie/20206
"
閾犵敳鍕囧＋鎹曠帇
",4,/movie/20206
"
涓轰粈涔堟槸浠栵紵
",6.6,/movie/20204
"
娓告垙鐜嬶細娆″厓鐨勯粦鏆楅潰
",8.1,/movie/20203
"
鎭堕瓟铔欑敺
",6.6,/movie/20157
"
涓€鐙变竴涓栫晫锛氶珮鐧婚様灏戣共鐩戞棩璁?",6.4,/movie/17030
"
涓滃寳寰€浜嬩箣鐮撮┈寮犻
",3.8,/movie/20198
"
娌夐粯
",7.8,/movie/19932
"
铚＄瑪灏忔柊锛氭垜鐨勬惉瀹剁墿璇粰浜烘帉澶ц鍑?",7.5,/movie/20197
"
楠囨晠浜嬩箣濂宠垗鎯婇瓊
",6.8,/movie/20192
"
缁濊矾鍙嶅嚮
",5.7,/movie/20191
"
濂戝厠
",7.8,/movie/20189
"
琚搷绾电殑鍩庡競
",7.4,/movie/20182
"
閿侀摼鎴樿璧厠鐟熷鏂箣鍏夊墽鍦虹増锛氱3绔?",6.3,/movie/20174
"
楠囨晠浜嬩箣鎭愭€栨浠
",3.2,/movie/20185
"
鐜浡烽瞾鐗?",6.5,/movie/20184
"
缁濇湜涔嬪
",4.3,/movie/20183
"
鏂楁垬鑳滀經
",2.6,/movie/20181
"
闆穿琛屽姩
",6.5,/movie/20179
"
閿侀摼鎴樿璧厠鐟熷鏂箣鍏夊墽鍦虹増锛氱2绔?",6.4,/movie/20173
"
楠囨晠浜嬩箣鍑跺畢
",4.8,/movie/20176
"
鎮嶅コ
",6.5,/movie/20175
"
閿侀摼鎴樿璧厠鐟熷鏂箣鍏夊墽鍦虹増锛氱1绔?",6.5,/movie/20172
"
鍚庡涓氫箣濂?",7,/movie/20171
"
鐖卞浗鑰呬箣鏃?",8,/movie/20063
"
浜屽崄涓栫邯濂充汉
",8,/movie/20164
"
楠囨晠浜嬩箣鏃犵姜鏃?",4.5,/movie/20165
"
钀ょ伀濂囧叺
",5,/movie/20163
"
鐚尓渚犱箣鑻遍泟鐚皯骞?",5,/movie/20098
"
鎭剁伒鍥版壈
",4.9,/movie/20162
"
鍗曡韩楠戝＋
",7.1,/movie/20158
"
缁濆懡寰幆
",4,/movie/20156
"
鑾柉绉戦櫡钀?",6.7,/movie/20100
"
榄斿彂濂囩紭锛氬垢绂忓墠濂?",6,/movie/20147
"
鏂殕濂冲＋
",8,/movie/20146
"
蹇冪鐨勬劅瑙?",6.9,/movie/20145
"
鏋侀檺鐗瑰伐
",7.3,/movie/3366
"
鐐欑儹
",8.6,/movie/20141
"
缇庡浗鏆村姏
",5.7,/movie/20140
"
濂虫硶鍖绘墜璁颁箣鏈€鍚庣湡鐩?",3.8,/movie/20138
"
鍦ｈ癁鍧忓叕鍏?
",5.7,/movie/20137
"
鍙橀涔嬮瓊椋樹笢浜?",4.1,/movie/20134
"
鍒戞煴涔嬪湴
",6.6,/movie/20132
"
鍗佸彿鍏矾
",5.9,/movie/20133
